"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","left_image","right_image","target_label","target_side","correct_response","background","correct","center_image"
"true","fullscreen","0","599576","0.0-0.0","","","","","","","","","","",""
"","audio-button-response-flexiblelocations","1","602691","0.0-1.0","2601","stimuli/sounds/practiceclick.wav","2","LbeachBlack","RbeachBlack","AG","center","1","black-background","false",""
"","audio-button-response-flexiblelocations","2","609197","0.0-2.0","null","stimuli/sounds/meetnewfriends.wav","null","girl1","girl2","none","center","1","black-background","false","black"
"","audio-button-response-flexiblelocations","3","615703","0.0-3.0","null","stimuli/sounds/hi_olivia.wav","null","girl1outline","girl2gray","red","left","0","black-background","false","black"
"","audio-button-response-flexiblelocations","4","622210","0.0-4.0","4088","stimuli/sounds/hi_emily.wav","2","girl1gray","girl2outline","blue","right","2","black-background","true","black"
"","audio-button-response-flexiblelocations","5","629944","0.0-5.0","7230","stimuli/sounds/1lookatme.wav","0","girl1outline","girl2gray","red","left","0","black-background","true",""
"","audio-button-response-flexiblelocations","6","639685","0.0-6.0","9235","stimuli/sounds/2lookatme.wav","0","girl1gray","girl2outline","blue","right","2","black-background","false",""
"","audio-button-response-flexiblelocations","7","646190","0.0-7.0","null","stimuli/sounds/listen_toys.wav","null","girl1","girl2","none","center","1","black-background","false","black"
"","audio-button-response-flexiblelocations","8","652696","0.0-8.0","5523","stimuli/sounds/1itthat_ball.wav","0","girl1outline","girl2gray","ball_red","left","0","black-background","true","ball_circle"
"","audio-button-response-flexiblelocations","9","659202","0.0-9.0","3145","stimuli/sounds/2itsee_ball.wav","2","girl1gray","girl2outline","ball_blue","right","2","black-background","true","ball_circle"
"","audio-button-response-flexiblelocations","10","665708","0.0-10.0","null","stimuli/sounds/1seethat_truck.wav","null","girl1outline","girl2gray","truck_red","left","0","black-background","false","truck_circle"
"","audio-button-response-flexiblelocations","11","672214","0.0-11.0","null","stimuli/sounds/2thatit_truck.wav","null","girl1gray","girl2outline","truck_blue","right","2","black-background","false","truck_circle"
"","audio-button-response-flexiblelocations","12","678720","0.0-12.0","5511","stimuli/sounds/great_click.wav","2","blank_square","blank_square","none","center","1","black-background","false","black"
"","audio-button-response-flexiblelocations","13","681679","0.0-13.0","2456","stimuli/sounds/find_truck.wav","0","truck_square","ball_square","truck","left","0","black-background","true",""
"","audio-button-response-flexiblelocations","14","686007","0.0-14.0","3823","stimuli/sounds/where_ball.wav","2","truck_square","ball_square","ball","right","2","black-background","true",""
"","audio-button-response-flexiblelocations","15","691013","0.0-15.0","null","stimuli/sounds/nicework.wav","null","LfireworksBlack","RfireworksBlack","AG","center","1","black-background","false","black"
"","audio-button-response-flexiblelocations","16","697518","0.0-16.0","null","stimuli/sounds/newtoys_listen.wav","null","girl1","girl2","none","center","1","black-background","false","black"
"","audio-button-response-flexiblelocations","17","704025","0.0-17.0","null","stimuli/sounds/1thatsee_tanzer.wav","null","girl1outline","girl2gray","tanzer_red","left","0","black-background","false","nov1_circle"
"","audio-button-response-flexiblelocations","18","710532","0.0-18.0","null","stimuli/sounds/2dontknow.wav","null","girl1gray","girl2outline","tanzer_blue","right","2","black-background","false","nov1_circle"
"","audio-button-response-flexiblelocations","19","717041","0.0-19.0","null","stimuli/sounds/2thatit_bosa.wav","null","girl1gray","girl2outline","bosa_blue","right","2","black-background","false","nov2_circle"
"","audio-button-response-flexiblelocations","20","723546","0.0-20.0","null","stimuli/sounds/1haventseen.wav","null","girl1outline","girl2gray","bosa_red","left","0","black-background","false","nov2_circle"
"","audio-button-response-flexiblelocations","21","730050","0.0-21.0","null","stimuli/sounds/1seeit_cheem.wav","null","girl1outline","girl2gray","cheem_red","left","0","black-background","false","nov3_circle"
"","audio-button-response-flexiblelocations","22","736555","0.0-22.0","null","stimuli/sounds/2haventseen.wav","null","girl1gray","girl2outline","cheem_blue","right","2","black-background","false","nov3_circle"
"","audio-button-response-flexiblelocations","23","743061","0.0-23.0","null","stimuli/sounds/2seethat_noop.wav","null","girl1gray","girl2outline","noop_blue","right","2","black-background","false","nov4_circle"
"","audio-button-response-flexiblelocations","24","749567","0.0-24.0","null","stimuli/sounds/1dontknow.wav","null","girl1outline","girl2gray","noop_red","left","0","black-background","false","nov4_circle"
"","audio-button-response-flexiblelocations","25","756198","0.0-25.0","null","stimuli/sounds/1itthat_akar.wav","null","girl1outline","girl2gray","akar_red","left","0","black-background","false","nov5_circle"
"","audio-button-response-flexiblelocations","26","762703","0.0-26.0","null","stimuli/sounds/2dontknow.wav","null","girl1gray","girl2outline","akar_blue","right ","2","black-background","false","nov5_circle"
"","audio-button-response-flexiblelocations","27","769210","0.0-27.0","null","stimuli/sounds/2itsee_wiso.wav","null","girl1gray","girl2outline","wiso_blue","right","2","black-background","false","nov6_circle"
"","audio-button-response-flexiblelocations","28","775715","0.0-28.0","null","stimuli/sounds/1haventseen.wav","null","girl1outline","girl2gray","wiso_red","left","0","black-background","false","nov6_circle"
